source,version,name,version_in_other,name_in_other,statement_count,raw_md5,whitespace_removed_md5,note
live,20260912125120,reconcile_legacy_salary_payments_on_accrual,false,false,1,3664f4047928a5539d97182cf4d3471c,c3e5fc23c0eb3b7e911c57834fd129e5,version_absent
live,20260912125447,secure_employee_salary_ledger_view,false,true,1,497cb9560c62ef25d0da1186af2434b7,f496ec0085ecc42662af1f4c95aaa390,version_absent;name_present;duplicate_live_name
live,20260912131528,add_lender_party_ledger,false,false,1,8e5ecaeda4e5f933f9a3232ab43cfecb,f5d9a0db21989e01eeb61f0bf4c66b88,version_absent
live,20260912131553,secure_salary_and_loan_rpcs,false,false,1,ece5fb13f8b0e61bc7b375c79146200c,6080e1628930ade713fe0ef31207c9e1,version_absent
live,20260912132022,complete_lender_ledger_posting,false,true,1,a2c0813ed4ba96af4294efd647341085,d03eed646c34b269067a932ced7aa25d,version_absent;name_present
live,20260912135034,order_payroll_accrual_before_payments,false,true,1,b47b4ab77daed093a01a8265468b3472,d5f4188ffb81a2d647a32c555dc68013,version_absent;name_present
live,20260912143916,salary_accrual_at_month_start,false,true,1,df46c8ec3214624fa1d490fcd1fdb796,95354de15177bc97f4687a017ac070dd,version_absent;name_present
live,20260912183617,normalize_account_mapping_keys,false,true,1,3928559f19f944a839f8428cc21ec184,51e56fcaaa9eca9bfc6ae580faaf7add,version_absent;name_present
live,20260912190222,enforce_unique_ledger_per_journal_line,false,true,1,a26fd9203e09dae3063ef23f9af4149d,b744063d32709836543720d30f72fd5a,version_absent;name_present
live,20260912190655,fix_bulk_journal_import_company_data_owner,false,true,1,7d62d1d14739bcffb5640053b7cb863e,97bb67ed3913af625649e466d4a8c60b,version_absent;name_present
live,20260912191153,harden_journal_operating_location_scope,false,true,1,43bdb7ea940adc4d9b07396af72c0676,b154bd835322ac85c7435624d71c886f,version_absent;name_present
live,20260912191841,enforce_journal_operating_location_write_scope,false,true,1,87e19b7fb9ef824832f0c453a1b1a808,5e4d37ec9c8a2173ecf6a0a4f373c4b3,version_absent;name_present
live,20260912192112,harden_manual_journal_numbering,false,true,1,dd33d9e5b04cbdcc231de37ea68fcf49,c944ade5384b1db07764680fb7f02238,version_absent;name_present
live,20260912192207,normalize_direct_manual_journal_numbers,false,true,1,574ff7cfa68c7ed2693c6eab669a7d35,aaa266eabcac8afda7482622e21a5f78,version_absent;name_present
live,20260912192506,scope_accounting_periods_by_company,false,true,1,f9f2fcceeccfb55377e5bdaae2dbd540,195e5faed59ae4d24cde98009a81a930,version_absent;name_present
live,20260912192616,harden_fiscal_year_close_company_scope,false,true,1,9cfa65970e586b91993e1d736f993dc2,ff28c23f7f52a8a0ea95b38ffe3a4a63,version_absent;name_present
live,20260912192938,harden_opening_balance_posting,false,true,1,0b252166df9b7a8b32677174bcb38cec,e865d95c6131a36c20f3c2816152f7ab,version_absent;name_present
